antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
"CAM_Cluster=0, Global_intensity=Low","EDP_State=Lower, Attention_Type=Early",0.19724368980089085,0.45712110252407967,0.1333688658773366,0.6761629029144953,1.4791767415263382,1.0,0.0432046129296358,1.67639502194704,0.40354496446949817,0.25598830836682507,0.40348188409760644,0.4839605906404044
"CAM_Cluster=0, Global_intensity=Medium","EDP_State=Lower, Attention_Type=Early",0.12122434994479765,0.45712110252407967,0.08194312254920623,0.6759625651655047,1.4787384818444191,1.0,0.026528914049675473,1.675358582421812,0.368407912167925,0.16507400874300174,0.40311285566433686,0.4276108381827257
"Global_reactive_power=High, CAM_Cluster=0","EDP_State=Lower, Attention_Type=Early",0.08954962500475883,0.45712110252407967,0.06012867857006891,0.6714565088002721,1.4688810144460611,1.0,0.019193655257275656,1.6523806193618786,0.3506063288423851,0.12358372456964006,0.3948125581464499,0.4014971264102633
"CAM_Cluster=0, Global_reactive_power=Low, Attention_Type=Early","Global_intensity=Low, EDP_State=Lower",0.08332889176533292,0.19069554954886359,0.05552213804393345,0.6663011695906433,3.4940572612572227,1.0,0.03963168923544552,2.4252540815271737,0.778686882615104,0.2541032163640799,0.587672068004395,0.478728544467911
"Voltage=VeryHigh, Global_intensity=Low","EDP_State=Lower, Attention_Type=Early",0.08361061407850154,0.45712110252407967,0.05549929569421708,0.6637828977324469,1.4520941913800205,1.0,0.017279119603937118,1.6146677067126436,0.3397457937644337,0.11437672608586491,0.380677525262499,0.3925966923867778
"CAM_Cluster=0, Global_reactive_power=Medium","EDP_State=Lower, Attention_Type=Early",0.09017398256367305,0.45712110252407967,0.059557619827159555,0.6604745419234991,1.4448568186341986,1.0,0.018337189498666195,1.598934290675783,0.338405246918338,0.12210999578500398,0.374583429831032,0.3953815177470117
CAM_Cluster=0,"EDP_State=Lower, Attention_Type=Early",0.3454676971104428,0.45712110252407967,0.22770777020596186,0.6591289782244556,1.441913257963703,1.0,0.06978719561638144,1.5926226132340267,0.46823816712255006,0.3960954676697306,0.3721048591860878,0.578631715443096
"CAM_Cluster=0, Global_intensity=Low, Global_reactive_power=Low","EDP_State=Lower, Attention_Type=Early",0.084493851600868,0.45712110252407967,0.05552213804393345,0.6571145354600343,1.4375064547045706,1.0,0.016898215443638696,1.5832659987622308,0.3324400936496975,0.11422126846383986,0.3683941922697878,0.3892874962595661
"CAM_Cluster=0, Global_reactive_power=Low","Global_intensity=Low, EDP_State=Lower",0.10052918110176266,0.19069554954886359,0.0657631248334412,0.6541695069302431,3.4304392969727884,1.0,0.046592657397543334,2.340176666514751,0.7876766321428698,0.2916821451487623,0.572681834534608,0.49951438013711197
"CAM_Cluster=0, Global_reactive_power=Low","EDP_State=Lower, Attention_Type=Early",0.10052918110176266,0.45712110252407967,0.06541287547112347,0.6506854502764524,1.4234421615706887,1.0,0.01945886537004285,1.5541262106189457,0.33072512891408823,0.13288887513921543,0.35655161519878087,0.39689146256243835
"Voltage=VeryHigh, Global_intensity=Low","CAM_Cluster=0, EDP_State=Lower",0.08361061407850154,0.26365401454296267,0.05426580880953288,0.6490301429742282,2.4616736600779814,1.0,0.03222153474933359,2.098031983991626,0.6479476093207559,0.18520828460798833,0.5233628430690352,0.42742609467711035
"Global_intensity=Low, Global_reactive_power=Medium","CAM_Cluster=0, EDP_State=Lower",0.08038984276849279,0.26365401454296267,0.050656717554345754,0.6301382837658647,2.3900196811271504,1.0,0.029461612779955074,1.9908683519732135,0.6324347323399242,0.17266168379528699,0.49770661680925915,0.41113579507263975
Global_intensity=Low,"CAM_Cluster=0, EDP_State=Lower",0.24997906117942667,0.26365401454296267,0.15750561541097194,0.6300752337729585,2.389780541992419,1.0,0.09159763237933523,1.990529028286537,0.7753803989771483,0.4422731548789874,0.49762099130962795,0.6137351650425424
"Global_intensity=Low, Global_reactive_power=Medium","EDP_State=Lower, Attention_Type=Early",0.08038984276849279,0.45712110252407967,0.050534891689191765,0.6286228452358401,1.3751779162344102,1.0,0.013786998131120928,1.461799387796676,0.2966706738301221,0.10377284738183468,0.3159116029544462,0.369586590850314
Global_intensity=Low,"EDP_State=Lower, Attention_Type=Early",0.24997906117942667,0.45712110252407967,0.15691171431834622,0.6276994304163748,1.3731578501854649,1.0,0.04264101026407234,1.4581736957401572,0.36232535824442985,0.28519630772637317,0.3142106438201739,0.48548007032844853
"Global_intensity=Low, Global_reactive_power=Low","CAM_Cluster=0, EDP_State=Lower",0.10560779685536986,0.26365401454296267,0.0657631248334412,0.6227108868060561,2.361848682203869,1.0,0.03791920522548527,1.95167567710474,0.6446868032854189,0.21668339187155042,0.48761978656029886,0.4360702613196827
"Voltage=VeryHigh, Global_intensity=Medium","EDP_State=Lower, Attention_Type=Early",0.09088209540488065,0.45712110252407967,0.05514143221532722,0.6067359249329759,1.3272979995514755,1.0,0.013597308564149577,1.3804436557887911,0.27124060226156266,0.11188011741078324,0.27559520752145733,0.3636817741794602
"Global_intensity=Low, Global_reactive_power=Low","EDP_State=Lower, Attention_Type=Early",0.10560779685536986,0.45712110252407967,0.06363878630981841,0.6025955299206922,1.3182404544295774,1.0,0.015363233776152702,1.3660613766311713,0.26991855862489195,0.12750961127723198,0.2679684697139386,0.37090600001931073
"Voltage=VeryHigh, Global_intensity=Low","CAM_Cluster=0, EDP_State=Lower, Attention_Type=Early",0.08361061407850154,0.22770777020596186,0.05022271290973465,0.6006738912667335,2.637915652695661,1.0,0.031183926412367863,1.9339888199243636,0.6775643975802009,0.19235367880785045,0.48293392924623574,0.4106158194379545
